Company,Closing Price,Day's Value (mn),Day's Volume (Nos.),Total No. of Outstanding Securities
AAMRANET,18.30,1.43,"77,970.00","92,979,912"
AAMRATECH,12.60,0.31,"24,436.00","64,707,442"
ABB1STMF,3.60,8.14,"2,260,166.00","239,090,396"
ABBANK,6.60,5.69,"850,348.00","895,694,749"
ABBLPBOND,900.00,-,-,"5,710,936"
ACFL,18.60,1.94,"103,934.00","100,833,333"
ACI,196.50,9.68,"48,768.00","87,831,843"
ACIFORMULA,137.30,4.39,"31,678.00","47,250,000"
ACMELAB,82.30,40.76,"491,512.00","211,601,700"
ACMEPL,14.30,9.12,"632,258.00","135,000,000"
ACTIVEFINE,9.90,23.01,"2,299,776.00","239,936,580"
ADNTEL,74.90,12.13,"161,292.00","64,651,666"
ADVENT,15.30,3.22,"209,729.00","93,132,732"
AFCAGRO,8.30,1.48,"175,393.00","115,216,200"
AFTABAUTO,35.50,12.91,"362,624.00","105,544,995"
AGNISYSL,25.90,30.98,"1,187,956.00","72,556,192"
AGRANINS,25.50,0.82,"31,979.00","36,018,698"
AIBL1STIMF,5.50,2.27,"411,293.00","100,000,000"
AIBLPBOND,"4,760.00",-,-,"100,000"
AIL,46.50,27.81,"593,303.00","48,676,835"
AL-HAJTEX,129.90,4.88,"37,354.00","22,298,549"
ALARABANK,18.00,2.67,"148,218.00","1,151,691,713"
ALIF,5.80,1.68,"288,919.00","259,927,022"
ALLTEX,10.50,0.48,"45,082.00","55,968,000"
AMANFEED,24.90,11.17,"443,139.00","130,970,400"
AMBEEPHA,811.80,8.19,"10,004.00","2,400,000"
AMCL(PRAN),232.20,1.34,"5,711.00","8,000,000"
ANLIMAYARN,21.00,1.69,"79,938.00","17,867,800"
ANWARGALV,73.30,48.12,"657,288.00","30,187,080"
AOL,14.90,1.61,"108,007.00","109,782,000"
APEXFOODS,226.40,10.06,"44,424.00","5,702,400"
APEXFOOT,219.20,9.29,"42,299.00","15,722,437"
APEXSPINN,150.50,51.72,"343,382.00","8,400,000"
APEXTANRY,72.00,5.43,"75,386.00","15,240,000"
APOLOISPAT,3.30,0.61,"183,077.00","401,308,600"
APSCLBOND,"2,550.00",-,-,"200,000"
ARAMIT,206.60,9.61,"46,380.00","6,000,000"
ARAMITCEM,12.80,0.13,"10,042.00","33,880,000"
ARGONDENIM,17.60,7.68,"431,496.00","138,888,606"
ASIAINS,26.80,2.00,"74,436.00","47,069,858"
ASIAPACINS,32.70,2.09,"63,215.00","42,350,000"
ASIATICLAB,47.00,55.44,"1,180,621.00","122,393,455"
ATCSLGF,7.50,-,-,"61,786,050"
ATLASBANG,64.60,0.42,"6,447.00","33,127,108"
AZIZPIPES,54.30,1.73,"31,415.00","5,347,125"
BANGAS,116.40,40.86,"345,766.00","7,624,643"
BANKASI1PB,"8,650.00",-,-,"68,050"
BANKASIA,18.60,60.40,"3,220,250.00","1,282,497,546"
BARKAPOWER,10.90,33.20,"3,015,049.00","235,465,661"
BATASHOE,870.70,1.00,"1,143.00","13,680,000"
BATBC,297.00,43.24,"145,290.00","540,000,000"
BAYLEASING,4.50,0.26,"57,112.00","140,888,443"
BBS,10.80,4.76,"439,802.00","162,929,732"
BBSCABLES,16.20,6.32,"388,137.00","211,709,767"
BDAUTOCA,114.70,14.91,"129,707.00","4,326,013"
BDCOM,23.70,8.48,"356,618.00","59,940,823"
BDFINANCE,10.80,1.05,"96,624.00","188,236,267"
BDLAMPS,149.20,24.89,"167,981.00","10,527,877"
BDSERVICE,5.20,-,-,"97,788,913"
BDTHAI,12.70,10.54,"825,159.00","127,775,250"
BDTHAIFOOD,14.40,11.73,"803,904.00","81,500,000"
BDWELDING,10.10,0.82,"80,960.00","43,349,305"
BEACHHATCH,46.10,42.19,"910,990.00","41,401,021"
BEACONPHAR,111.40,13.03,"115,978.00","231,000,000"
BENGALWTL,19.20,8.32,"432,035.00","91,476,000"
BERGERPBL,"1,550.30",7.04,"4,517.00","49,105,991"
BESTHLDNG,16.20,10.28,"633,321.00","1,059,230,365"
BEXGSUKUK,49.00,1.44,"29,450.00","280,924,613"
BEXIMCO,110.10,0.06,500.00,"943,235,842"
BGIC,31.80,1.78,"55,656.00","54,027,255"
BIFC,5.90,0.05,"8,446.00","100,679,944"
BNICL,40.20,3.62,"89,831.00","44,250,000"
BPML,33.70,5.22,"153,464.00","173,791,441"
BPPL,14.40,24.54,"1,676,824.00","172,995,488"
BRACBANK,68.20,129.09,"1,889,499.00","1,990,926,167"
BSC,119.50,313.83,"2,593,806.00","152,535,040"
BSCPLC,151.10,74.57,"481,973.00","187,038,843"
BSRMLTD,90.70,16.67,"182,362.00","298,584,626"
BSRMSTEEL,65.50,6.16,"92,914.00","375,952,500"
BXPHARMA,116.70,151.38,"1,283,414.00","446,112,089"
CAPITECGBF,7.40,12.88,"1,728,384.00","155,680,000"
CAPMBDBLMF,9.20,0.42,"45,208.00","50,131,000"
CAPMIBBLMF,8.50,1.19,"140,044.00","66,853,500"
CBLPBOND,"1,037,500.00",-,-,"4,000"
CENTRALINS,39.20,6.81,"173,384.00","53,144,823"
CENTRALPHL,10.70,6.71,"623,731.00","119,800,844"
CITYBANK,23.90,210.40,"8,749,008.00","1,521,222,069"
CITYGENINS,51.60,9.68,"186,310.00","68,166,122"
CLICL,46.40,3.41,"72,600.00","37,500,000"
CNATEX,3.20,0.87,"270,075.00","239,316,000"
CONFIDCEM,59.30,50.13,"838,515.00","86,253,790"
CONTININS,23.80,5.42,"226,816.00","43,685,576"
COPPERTECH,21.10,5.01,"234,706.00","65,520,000"
CROWNCEMNT,50.30,1.24,"24,279.00","148,500,000"
CRYSTALINS,44.20,10.97,"246,211.00","44,000,000"
CVOPRL,144.90,36.48,"250,193.00","27,769,500"
DACCADYE,16.40,1.26,"76,515.00","87,153,453"
DAFODILCOM,55.70,10.60,"191,350.00","49,912,262"
DBH,39.20,12.12,"309,040.00","202,867,974"
DBH1STMF,6.20,0.68,"110,060.00","120,000,000"
DBLPBOND,"6,131.50",-,-,"40,000"
DEBARACEM,"1,865.00",-,-,"45,000"
DEBBDLUGG,784.00,-,-,-
DEBBDWELD,"1,418.50",-,-,"8,000"
DEBBDZIPP,700.00,-,-,-
DEBBXDENIM,"1,450.00",-,-,"120,000"
DEBBXFISH,835.00,-,-,"40,000"
DEBBXKNI,900.00,-,-,"100,000"
DEBBXTEX,"1,300.00",-,-,"96,000"
DELTALIFE,76.00,24.78,"322,413.00","123,750,000"
DELTASPINN,5.70,1.56,"271,489.00","166,481,964"
DESCO,24.80,1.28,"51,280.00","397,569,804"
DESHBANDHU,18.80,6.20,"327,531.00","61,365,150"
DGIC,22.60,3.38,"148,836.00","40,000,000"
DHAKABANK,11.80,39.13,"3,288,969.00","1,056,932,349"
DHAKAINS,36.80,1.36,"36,627.00","40,125,000"
DOMINAGE,12.40,22.61,"1,801,484.00","102,600,000"
DOREENPWR,25.90,12.05,"460,723.00","181,118,901"
DSHGARME,122.70,34.78,"279,492.00","8,288,342"
DSSL,10.70,20.76,"1,910,815.00","210,793,275"
DULAMIACOT,99.40,6.59,"67,103.00","7,556,600"
DUTCHBANGL,44.50,6.06,"135,718.00","966,701,139"
EASTERNINS,45.40,0.84,"18,237.00","43,110,144"
EASTLAND,18.90,1.32,"69,266.00","83,880,581"
EASTRNLUB,"2,606.90",46.77,"17,951.00","1,587,616"
EBL,25.60,36.99,"1,440,100.00","1,595,813,388"
EBL1STMF,4.40,1.85,"417,664.00","144,754,222"
EBLNRBMF,3.50,1.02,"289,301.00","224,261,303"
ECABLES,124.30,6.65,"53,829.00","26,400,000"
EGEN,20.60,12.09,"581,587.00","75,000,000"
EHL,88.00,172.95,"1,939,791.00","93,345,153"
EIL,33.70,24.12,"712,921.00","65,197,464"
EMERALDOIL,20.80,2.66,"127,251.00","91,272,004"
ENVOYTEX,44.80,8.67,"192,262.00","167,734,767"
EPGL,17.30,4.16,"236,926.00","190,163,216"
ESQUIRENIT,22.70,5.65,"246,313.00","134,895,833"
ETL,9.00,11.02,"1,206,140.00","183,744,000"
EXIM1STMF,4.80,9.72,"2,059,430.00","143,256,343"
EXIMBANK,6.00,5.98,"994,377.00","1,447,557,344"
FAMILYTEX,2.30,0.48,"208,763.00","354,160,388"
FARCHEM,22.10,7.70,"341,462.00","153,097,333"
FAREASTFIN,3.40,0.27,"77,667.00","164,063,330"
FAREASTLIF,28.40,0.62,"21,458.00","74,742,751"
FASFIN,2.80,0.11,"38,671.00","149,077,364"
FBFIF,3.50,3.17,"896,790.00","776,147,028"
FEDERALINS,21.40,3.26,"151,520.00","71,039,643"
FEKDIL,17.30,60.09,"3,438,942.00","218,744,171"
FINEFOODS,258.70,23.93,"92,573.00","13,973,918"
FIRSTFIN,3.00,0.15,"50,075.00","118,544,663"
FIRSTSBANK,3.80,8.03,"2,105,159.00","1,208,139,379"
FORTUNE,15.80,3.77,"237,673.00","170,662,263"
FUWANGCER,13.00,16.01,"1,220,141.00","136,269,093"
FUWANGFOOD,15.00,10.27,"682,091.00","110,839,284"
GBBPOWER,7.30,0.32,"43,469.00","101,803,548"
GEMINISEA,155.00,36.42,"233,816.00","11,485,418"
GENEXIL,23.50,5.72,"242,426.00","120,450,021"
GENNEXT,2.60,1.22,"465,516.00","494,974,555"
GHAIL,12.40,9.53,"760,127.00","215,837,621"
GHCL,19.70,0.90,"45,298.00","72,000,000"
GIB,3.00,1.55,"512,428.00","1,036,811,672"
GLDNJMF,7.40,3.67,"489,880.00","100,000,000"
GLOBALINS,27.80,7.03,"250,077.00","40,551,763"
GOLDENSON,11.30,10.52,"920,137.00","171,729,772"
GP,315.70,45.24,"142,954.00","1,350,300,022"
GPHISPAT,19.50,17.32,"879,768.00","483,883,456"
GQBALLPEN,246.60,21.77,"87,861.00","8,928,091"
GRAMEENS2,13.90,7.64,"542,760.00","182,397,902"
GREENDELMF,4.10,0.80,"193,876.00","150,000,000"
GREENDELT,48.00,2.61,"53,986.00","100,188,194"
GSPFINANCE,5.00,0.37,"74,466.00","157,068,585"
HAKKANIPUL,76.20,113.75,"1,532,281.00","19,000,000"
HAMI,105.00,8.99,"87,612.00","7,700,000"
HEIDELBCEM,247.90,4.46,"17,842.00","56,503,580"
HFL,8.40,0.70,"81,924.00","91,057,312"
HRTEX,26.40,23.09,"862,435.00","29,221,500"
HWAWELLTEX,43.10,0.81,"18,625.00","56,000,000"
IBBL2PBOND,"3,960.00",-,-,"160,000"
IBBLPBOND,686.50,-,-,"3,000,000"
IBNSINA,313.30,14.89,"47,284.00","31,243,627"
IBP,13.20,13.73,"1,038,451.00","116,205,178"
ICB,48.00,7.15,"147,663.00","867,258,961"
ICB3RDNRB,4.70,2.32,"490,066.00","100,000,000"
ICBAGRANI1,7.30,2.77,"381,457.00","98,151,000"
ICBAMCL2ND,6.10,0.52,"85,466.00","50,000,000"
ICBEPMF1S1,5.00,0.62,"124,099.00","75,000,000"
ICBIBANK,2.90,0.10,"33,849.00","664,702,300"
ICBSONALI1,5.50,28.10,"5,141,615.00","100,000,000"
ICICL,21.60,5.15,"237,146.00","50,652,766"
IDLC,39.90,34.10,"853,282.00","436,483,409"
IFADAUTOS,23.60,13.94,"580,690.00","268,253,911"
IFIC,6.60,18.70,"2,834,130.00","1,922,086,648"
IFIC1STMF,3.80,10.95,"2,880,158.00","182,167,965"
IFILISLMF1,4.70,8.48,"1,835,504.00","100,000,000"
ILFSL,2.80,0.59,"208,238.00","221,810,246"
INDEXAGRO,76.20,13.23,"173,141.00","47,253,649"
INTECH,20.60,6.58,"323,629.00","31,321,226"
INTRACO,21.50,24.38,"1,121,621.00","98,232,750"
IPDC,18.60,29.00,"1,543,720.00","409,128,430"
ISLAMIBANK,45.40,39.07,"851,850.00","1,609,990,668"
ISLAMICFIN,8.40,2.41,"283,585.00","140,326,670"
ISLAMIINS,39.50,1.06,"26,818.00","41,165,215"
ISNLTD,42.20,1.88,"44,399.00","10,920,003"
ITC,40.10,21.19,"525,127.00","128,592,664"
JAMUNABANK,20.80,147.74,"7,045,069.00","939,337,630"
JAMUNAOIL,191.20,24.10,"125,100.00","110,424,600"
JANATAINS,25.00,2.45,"97,050.00","48,482,628"
JHRML,53.10,44.16,"820,842.00","125,294,120"
JMISMDL,152.50,29.74,"194,469.00","30,056,000"
JUTESPINN,201.40,0.28,"1,372.00","1,700,000"
KARNAPHULI,30.60,32.34,"1,031,206.00","44,876,113"
KAY&QUE,289.20,34.87,"120,038.00","6,993,049"
KBPPWBIL,118.80,31.95,"268,476.00","98,079,877"
KDSALTD,40.50,11.88,"291,539.00","74,741,479"
KEYACOSMET,4.80,1.45,"301,297.00","1,102,317,324"
KOHINOOR,525.90,45.27,"85,647.00","37,070,812"
KPCL,10.80,1.77,"163,359.00","397,413,179"
KPPL,17.60,5.40,"303,657.00","73,040,000"
KTL,12.40,55.64,"4,380,996.00","116,305,200"
LANKABAFIN,17.50,38.27,"2,169,895.00","538,838,623"
LEGACYFOOT,60.90,34.43,"565,898.00","43,079,980"
LHB,57.50,69.11,"1,188,668.00","1,161,373,500"
LIBRAINFU,772.80,6.91,"8,962.00","2,252,880"
LINDEBD,960.40,6.48,"6,735.00","15,218,280"
LOVELLO,90.70,39.50,"432,584.00","93,500,000"
LRBDL,14.20,3.55,"249,440.00","145,243,144"
LRGLOBMF1,3.80,1.82,"477,535.00","311,080,332"
MAGURAPLEX,91.30,39.57,"426,293.00","29,603,378"
MAKSONSPIN,7.10,5.35,"741,045.00","238,232,538"
MALEKSPIN,30.40,165.28,"5,390,001.00","193,600,000"
MARICO,"2,931.40",15.88,"5,398.00","31,500,000"
MATINSPINN,51.00,9.59,"187,986.00","97,490,000"
MBL1STMF,4.80,0.08,"16,400.00","100,000,000"
MBPLCPBOND,"4,850.00",-,-,"100,000"
MEGCONMILK,17.50,0.14,"8,126.00","16,000,000"
MEGHNACEM,42.60,0.43,"10,138.00","31,588,529"
MEGHNAINS,25.30,8.57,"335,081.00","40,000,000"
MEGHNALIFE,58.40,44.10,"748,540.00","42,405,218"
MEGHNAPET,25.20,0.22,"8,730.00","12,000,000"
MERCANBANK,9.50,29.94,"3,105,182.00","1,106,575,435"
